역명,주소,사유
서울,서울특별시 중구 세종대로 지하2(남대문로 5가),'NoneType' object is not subscriptable
시청,서울특별시 중구 세종대로 지하101(정동),'NoneType' object is not subscriptable
종각,서울특별시 종로구 종로 지하55(종로1가),'NoneType' object is not subscriptable
종로3가,서울특별시 종로구 종로 지하129(종로3가),'NoneType' object is not subscriptable
종로5가,서울특별시 종로구 종로 지하216(종로5가),'NoneType' object is not subscriptable
동대문,서울특별시 종로구 종로 지하302(창신동),'NoneType' object is not subscriptable
신설동,서울특별시 동대문구 왕산로 지하1(신설동),'NoneType' object is not subscriptable
제기동,서울특별시 동대문구 왕산로 지하93(제기동),'NoneType' object is not subscriptable
청량리(서울시립대입구),서울특별시 동대문구 왕산로 지하205(전농동),'NoneType' object is not subscriptable
동묘앞,서울특별시 종로구 종로 359(숭인동),'NoneType' object is not subscriptable
시청,서울특별시 중구 서소문로 지하127(서소문동),'NoneType' object is not subscriptable
을지로입구,서울특별시 중구 을지로 지하42(을지로1가),'NoneType' object is not subscriptable
을지로3가,서울특별시 중구 을지로 지하106(을지로3가),'NoneType' object is not subscriptable
을지로4가,서울특별시 중구 을지로 지하178(을지로4가),'NoneType' object is not subscriptable
동대문역사문화공원(DDP),서울특별시 중구 을지로 지하279(을지로7가),'NoneType' object is not subscriptable
신당,서울특별시 중구 퇴계로 지하431-1(신당동),'NoneType' object is not subscriptable
상왕십리,서울특별시 성동구 왕십리로 지하374(하왕십리동),'NoneType' object is not subscriptable
왕십리(성동구청),서울특별시 성동구 왕십리로 지하300(행당동),'NoneType' object is not subscriptable
한양대,서울특별시 성동구 왕십리로 206(행당동),'NoneType' object is not subscriptable
뚝섬,서울특별시 성동구 아차산로 18(성수동1가),'NoneType' object is not subscriptable
성수,서울특별시 성동구 아차산로 100(성수동2가),'NoneType' object is not subscriptable
건대입구,서울특별시 광진구 아차산로 243(화양동),'NoneType' object is not subscriptable
구의(광진구청),서울특별시 광진구 아차산로 384-1(구의동),'NoneType' object is not subscriptable
강변(동서울터미널),서울특별시 광진구 강변역로 53(구의동),'NoneType' object is not subscriptable
잠실나루,서울특별시 송파구 오금로 20(신천동),'NoneType' object is not subscriptable
잠실(송파구청),서울특별시 송파구 올림픽로 지하265(신천동),'NoneType' object is not subscriptable
잠실새내,서울특별시 송파구 올림픽로 지하140(잠실동),'NoneType' object is not subscriptable
종합운동장,서울특별시 송파구 올림픽로 지하23(잠실동),'NoneType' object is not subscriptable
삼성(무역센터),서울특별시 강남구 테헤란로 지하538(삼성동),'NoneType' object is not subscriptable
선릉,서울특별시 강남구 테헤란로 지하340(삼성동),'NoneType' object is not subscriptable
역삼,서울특별시 강남구 테헤란로 지하156(역삼동),'NoneType' object is not subscriptable
강남,서울특별시 강남구 강남대로 지하396(역삼동),'NoneType' object is not subscriptable
"교대(법원, 검찰청)",서울특별시 서초구 서초대로 지하294(서초동),'NoneType' object is not subscriptable
서초,서울특별시 서초구 서초대로 지하233(서초동),'NoneType' object is not subscriptable
방배,서울특별시 서초구 방배로 지하80(방배동),'NoneType' object is not subscriptable
사당,서울특별시 동작구 남부순환로 지하2089(사당동),'NoneType' object is not subscriptable
낙성대(강감찬),서울특별시 관악구 남부순환로 지하1928(봉천동),'NoneType' object is not subscriptable
서울대입구(관악구청),서울특별시 관악구 남부순환로 지하1822(봉천동),'NoneType' object is not subscriptable
봉천,서울특별시 관악구 남부순환로 지하1721(봉천동),'NoneType' object is not subscriptable
신림,서울특별시 관악구 남부순환로 지하1614(신림동),'NoneType' object is not subscriptable
신대방,서울특별시 동작구 대림로 2(신대방동),'NoneType' object is not subscriptable
구로디지털단지,서울특별시 구로구 도림천로 477(구로동),'NoneType' object is not subscriptable
대림(구로구청),서울특별시 구로구 도림천로 351(구로동),'NoneType' object is not subscriptable
신도림,서울특별시 구로구 새말로 지하 117-21(신도림동),'NoneType' object is not subscriptable
문래,서울특별시 영등포구 당산로 지하28(문래동3가),'NoneType' object is not subscriptable
영등포구청,서울특별시 영등포구 당산로 지하121(당산동3가),'NoneType' object is not subscriptable
당산,서울특별시 영등포구 당산로 229(당산동6가),'NoneType' object is not subscriptable
합정,서울특별시 마포구 양화로 지하55(서교동),'NoneType' object is not subscriptable
